Seq #,Station Type,Station Name,Test Sequence,Port,Proc #,Test Group,Area,Area Category,Stn Opts+,Stn Opts-,Status,Tested @,Start Time,Test Time,Comments
2,HiPot,High Potential Test,Hi Pot,CPU,2,,2,2,,,CLEARED,,,,G (Build It)
3,ET55946,Align-X,Initialization,CPU,6,,2,2,,,PASSED,mod019,11/19/2025 14:23,00:00:02,G (Build It)
4,ET55946,Align-X,Imaging,CPU,2,,2,2,,,CLEARED,,,,G (Build It)
5,ET55946,Align-X,Initialization,CPU,2,,2,2,,,PASSED,mod019,11/19/2025 14:24,00:01:29,G (Build It)
6,ET55946,Align-X,Initialization,CPU,3,,2,2,,,PASSED,mod019,11/19/2025 14:26,00:03:12,G (Build It)
7,ET55946,Align-X,StoreBoardHeader,CPU,2,,2,2,,,PASSED,mod019,12/19/2025 17:33,00:00:13,G (Build It)
9,ET55946,Align-X,Adjustment Default,CPU,2,,2,2,,,PASSED,sr-ssd75,12/15/2025 18:22,00:00:20,
10,ET55946,Align-X,Adjustment Power Default,RF1,2,,2,2,,,PASSED,obt290,1/8/2026 10:40,00:36:31,Y (N1525A - CHANNEL 1)
13,ET55946,Align-X,Adjustment CPU,CPU,2,,2,2,,,PASSED,sr-ssd75,12/15/2025 18:24,00:00:08,
14,ET55946,Align-X,Adjustment Tone Generator,CPU,2,,2,2,,,PASSED,sr-ssd75,12/15/2025 18:25,00:00:07,
15,ET55946,Align-X,Adjustment Rear Panel,CPU,2,,2,2,,,CLEARED,,,,
17,ET55946,Align-X,Adjustment Power Supply Interface,CPU,2,,2,2,,,PASSED,sr-ssd75,12/15/2025 18:25,00:00:09,
19,ET55946,Align-X,Adjustment Backup,CPU,2,,2,2,,,PASSED,sr-ssd75,12/15/2025 18:26,00:00:29,
20,ET55946,Align-X,SelfTest CPU,CPU,2,,2,2,,,PASSED,sr-ssd75,12/15/2025 18:27,00:00:05,
21,ET55946,Align-X,SelfTest Rear Panel,RF1,2,,2,2,,,CLEARED,sr-ssd75,12/19/2025 12:15,00:00:23,Y (N1525A - CHANNEL 1)
23,ET55946,Align-X,SelfTest Power Supply Interface,CPU,2,,2,2,,,PASSED,sr-ssd75,12/15/2025 18:28,00:00:09,
24,ET55946,Align-X,SelfTest Reference,CPU,2,,2,2,,,PASSED,sr-ssd75,12/15/2025 18:29,00:00:10,
25,ET55946,Align-X,SelfTest Tone Generator,CPU,2,,2,2,,,PASSED,sr-ssd75,12/15/2025 18:29,00:00:05,
26,ET55946,Align-X,SelfTest MiniMoab,RF1,2,,2,2,,,CLEARED,obt290,12/31/2025 11:24,00:17:05,Y (N1525A - CHANNEL 1)
28,ET55946,Align-X,Adjustment Reference,CPU,2,,2,2,,,PASSED,sr-ssd84,12/16/2025 10:10,00:09:33,
29,ET55946,Align-X,Adjustment Synth,RF1,2,,2,2,,,CLEARED,sr-ssd75,12/15/2025 19:09,00:49:59,Y (N1525A - CHANNEL 1)
31,ET55946,Align-X,Adjustment Rear Panel IO,RF1,4,,2,2,,,CLEARED,sr-ssd75,12/18/2025 17:13,13:42:35,Y (N1525A - CHANNEL 1)
33,ET55946,Align-X,Functional RF,RF1,2,,2,2,,,CLEARED,sr-ssd92,12/22/2025 18:26,15:36:32,Y (N1525A - CHANNEL 1)
35,ET55946,Align-X,Functional Ref ToneGen,CPU,2,,2,2,,,CLEARED,mod039,12/17/2025 07:16,00:33:11,
36,ET55946,Align-X,Functional Rear Panel,RF1,4,,2,2,,,CLEARED,sr-ssd75,12/19/2025 11:06,00:09:04,Y (N1525A - CHANNEL 1)
38,ET55946,Align-X,Functional Front Panel,CPU,2,,2,2,,,CLEARED,,,,
39,ET56035,SSA MINT,Phase Noise 2.4GHz Out,CPU,8,NPI,2,2,,,ABORTED,louchis,1/22/2026 15:14,00:11:44,
40,ET43064,YS Loading Gate,LoadingGateTest,CPU,2,,2,2,,,CLEARED,sr-ssd33vm,1/8/2026 11:02,00:06:45,B
41,Insert test plan: N1525A 1A65080025,B; C; I (001); Q,,,,,,,,,,,,,
42,ET57033,PNA-X,Adjustment Moab Power Sweep,RF1,6,,2,2,626688,,PASSED,sr-ssd29,1/8/2026 11:59,00:12:42,Y (N1525A - CHANNEL 1)
43,ET57033,PNA-X,Adjustment Moab Power Sweep,RF1,16,,2,2,626688,,PASSED,sr-ssd29,1/8/2026 12:13,00:11:10,Y (N1525A - CHANNEL 1)
44,ET54730,ACLR-Test,Adjustment Modulator Schedule,RF1,4,,2,2,57344,,PASSED,sr-ssd53,1/8/2026 12:26,00:15:06,A; Y (N1525A - CHANNEL 1)
45,ET54730,ACLR-Test,Adjustment Modulator Schedule,RF1,5,,2,2,57344,,PASSED,sr-ssd53,1/8/2026 12:42,00:16:55,A; Y (N1525A - CHANNEL 1)
46,ET54730,ACLR-Test,Adjustment Modulator Schedule,RF1,6,,2,2,57344,,PASSED,sr-ssd53,1/8/2026 13:00,00:19:13,A; Y (N1525A - CHANNEL 1)
47,ET54730,ACLR-Test,Adjustment Modulator Schedule,RF1,14,,2,2,57344,,PASSED,sr-ssd53,1/8/2026 13:20,00:15:54,A; Y (N1525A - CHANNEL 1)
48,ET54730,ACLR-Test,Adjustment Modulator Schedule,RF1,15,,2,2,57344,,PASSED,sr-ssd53,1/8/2026 13:37,00:16:17,A; Y (N1525A - CHANNEL 1)
49,ET54730,ACLR-Test,Adjustment Modulator Schedule,RF1,16,,2,2,57344,,PASSED,sr-ssd53,1/8/2026 13:54,00:19:12,A; Y (N1525A - CHANNEL 1)
50,ET54730,ACLR-Test,Adjustment Modulator Schedule,RF1,24,,2,2,57344,,PASSED,sr-ssd53,1/8/2026 14:15,00:11:46,A; Y (N1525A - CHANNEL 1)
51,ET57033,PNA-X,Adjustment Modulator Region Sweep NA,RF1,4,,2,2,622848,,CLEARED,sr-ssd23,1/12/2026 11:08,00:01:28,A; Y (N1525A - CHANNEL 1)
52,ET57033,PNA-X,Adjustment Modulator Region Sweep NA,RF1,5,,2,2,622848,,PASSED,sr-ssd50,1/8/2026 15:36,00:56:54,A; Y (N1525A - CHANNEL 1)
53,ET57033,PNA-X,Adjustment Modulator Region Sweep NA,RF1,6,,2,2,622848,,PASSED,sr-ssd50,1/8/2026 16:33,00:58:53,A; Y (N1525A - CHANNEL 1)
54,ET57033,PNA-X,Adjustment Modulator Region Sweep NA,RF1,14,,2,2,622848,,PASSED,sr-ssd50,1/8/2026 20:27,01:29:41,A; Y (N1525A - CHANNEL 1)
55,ET57033,PNA-X,Adjustment Modulator Region Sweep NA,RF1,15,,2,2,622848,,PASSED,sr-ssd50,1/8/2026 21:58,00:55:19,A; Y (N1525A - CHANNEL 1)
56,ET57033,PNA-X,Adjustment Modulator Region Sweep NA,RF1,16,,2,2,622848,,PASSED,sr-ssd50,1/8/2026 22:54,00:59:59,A; Y (N1525A - CHANNEL 1)
57,ET57033,PNA-X,Adjustment Modulator Region Sweep NA,RF1,24,,2,2,622848,,PASSED,sr-ssd50,1/8/2026 23:55,01:04:31,A; Y (N1525A - CHANNEL 1)
