Seq #,Station Type,Station Name,Test Sequence,Port,Proc #,Area,Area Category,Stn Opts+,Stn Opts-,Status,Tested @,Start Time,Test Time,Comments
3,ET55946,Align-X,Initialization,CPU,6,2,2,,,PASSED,gdrss3-34,1/9/2026 14:53,00:00:04,B
4,ET55946,Align-X,Download G2.4,CPU,8,2,2,,,PASSED,gdrss3-34,1/9/2026 14:54,00:44:54,B
5,ET55946,Align-X,Download G2.4,CPU,9,2,2,,,PASSED,gdrss3-34,1/9/2026 18:26,00:00:23,B
6,ET55946,Align-X,Initialization,CPU,2,2,2,,,PASSED,gdrss3-30,1/10/2026 07:43,00:01:20,B
7,ET55946,Align-X,Initialization,CPU,3,2,2,,,PASSED,gdrss3-30,1/10/2026 07:48,00:00:02,B
8,ET55946,Align-X,Download,CPU,3,2,2,,,PASSED,gdrss3-30,1/10/2026 07:59,00:02:03,B
9,ET55946,Align-X,Array Default G2.4,RF1,10,2,2,,,PASSED,gdrss3-30,1/10/2026 08:06,00:00:21,B; Y (N5886A - CHANNEL 1)
13,ET55946,Align-X,Abus Adjustments G2.4,CPU,2,2,2,,,PASSED,gdrss3-30,1/10/2026 08:18,00:00:21,B
14,ET55946,Align-X,Abus Adjustments G2.4,RF1,2,2,2,,,PASSED,gdrss3-30,1/10/2026 08:19,00:00:22,B; Y (N5886A - CHANNEL 1)
18,ET55946,Align-X,SelfTest G2.4,RF1,2,2,2,,,PASSED,gdrss3-30,1/10/2026 08:20,00:01:07,Y (N5886A - CHANNEL 1)
22,ET55946,Align-X,Reference Adjustments G2.4,CPU,3,2,2,,,PASSED,gdrss37,1/10/2026 11:33,00:29:26,B
23,ET55946,Align-X,Functional Tests,RF1,3,2,2,,,CLEARED,gdrss3-33,1/10/2026 15:36,00:42:56,B; Y (N5886A - CHANNEL 1)
27,ET55946,Align-X,Functional Tests,CPU,15,2,2,,,PASSED,gdrss3-33,1/10/2026 16:20,00:04:50,B
28,ET55946,Align-X,Adjustments G2.4,RF1,40,2,2,,,PASSED,gdrss3-33,1/10/2026 16:25,01:09:04,B; Y (N5886A - CHANNEL 1)
32,ET55946,Align-X,Acpr,RF1,2,2,2,,,PASSED,gdrss3-33,1/10/2026 18:23,00:07:14,Y (N5886A - CHANNEL 1)
36,ET57033,PNA-X,Source Adjustments G2.4,RF1,5,2,2,256,,PASSED,gdrss3-45,1/10/2026 18:48,01:47:41,A; M (Diversity group A); Y (N5886A - CHANNEL 1)
40,ET57033,PNA-X,Source Adjustments G2.4,RF1,21,2,2,256,,PASSED,gdrss3-45,1/10/2026 20:37,01:50:00,J (002;003;004 - any); K (Dependency group F parent); M (Diversity group D); Y (N5886A - CHANNEL 1)
45,ET57033,PNA-X,Amplitude Accuracy,RF1,3,2,2,,,PASSED,gdrss3-45,1/10/2026 22:30,01:19:32,A; Y (N5886A - CHANNEL 1)
49,ET57033,PNA-X,Receiver Adjustments G2.4,RF1,51,2,2,256,,PASSED,gdrss3-45,1/10/2026 23:51,02:54:57,A; Y (N5886A - CHANNEL 1)
50,ET57033,PNA-X,Receiver Adjustments G2.4,RF1,52,2,2,256,,PASSED,gdrss3-45,1/11/2026 02:57,03:58:27,A; Y (N5886A - CHANNEL 1)
51,ET57033,PNA-X,Receiver Adjustments G2.4,RF1,53,2,2,256,,PASSED,gdrss3-45,1/11/2026 06:56,02:11:16,A; Y (N5886A - CHANNEL 1)
61,ET57033,PNA-X,Amplitude Accuracy,RF1,30,2,2,,,PASSED,gdrss3-45,1/11/2026 09:10,01:04:12,A; Y (N5886A - CHANNEL 1)
73,ET57033,PNA-X,Source Alignment,RF1,64,2,2,,,PASSED,gdrss3-45,1/11/2026 10:15,00:12:42,A; Y (N5886A - CHANNEL 1)
77,ET54730,ACLR-Testing,System Alignments G2.4,RF1,60,2,2,73728,,PASSED,gdrss3-16,1/12/2026 02:17,00:05:49,A; Y (N5886A - CHANNEL 1)
81,ET57381,Peanuts Phase Noise,Reference PhaseNoise,RF1,5,2,2,,,PASSED,pnoise103,1/12/2026 02:36,00:07:39,B; Y (N5886A - CHANNEL 1)
82,ET57381,Peanuts Phase Noise,PhaseNoise Calibration,RF1,1,2,2,,,PASSED,pnoise103,1/12/2026 02:45,00:27:20,B; Y (N5886A - CHANNEL 1)
83,ET57381,Peanuts Phase Noise,Store Cal Arrays,CPU,6,2,2,,,PASSED,pnoise103,1/12/2026 03:14,00:01:45,
84,ET43064,YS Loading Gate,Loading Gate G2.4,CPU,29,2,2,,,PASSED,ys2gate01,1/12/2026 13:16,00:01:58,
85,Insert test plan: N5886A,B; C; Q,,,,,,,,,,,,
86,ET57033,PNA-X,Amplitude Accuracy,RF1,4,2,2,256,,PASSED,gdrss3-02,1/12/2026 15:18,01:20:33,K (Dependency group C parent); M (Diversity group A); Y (N5886A - CHANNEL 1)
87,ET57033,PNA-X,Amplitude Accuracy,RF1,8,2,2,,,PASSED,gdrss3-02,1/12/2026 16:39,00:15:49,Y (N5886A - CHANNEL 1)
88,ET57033,PNA-X,Amplitude Accuracy,RF1,10,2,2,256,,PASSED,gdrss3-02,1/12/2026 16:56,00:13:43,Y (N5886A - CHANNEL 1)
89,ET57033,PNA-X,Amplitude Accuracy,RF1,12,2,2,256,,PASSED,gdrss3-02,1/12/2026 17:10,02:48:23,Y (N5886A - CHANNEL 1)
90,ET57033,PNA-X,Phase Measurements,RF1,31,2,2,256,,PASSED,gdrss3-02,1/12/2026 19:59,00:28:26,K (Dependency group F child); M (Diversity group D); Y (N5886A - CHANNEL 1)
91,ET54730,ACLR-Testing,Phase Measurements,RF1,32,2,2,,,PASSED,gdrss3-52,1/13/2026 08:50,00:25:11,K (Dependency group F child); Y (N5886A - CHANNEL 1)
92,ET54730,ACLR-Testing,Amplitude Accuracy Using SA,RF1,8,2,2,,,PASSED,gdrss3-54,1/13/2026 21:10,01:06:12,K (Dependency group C child); Y (N5886A - CHANNEL 1)
