Seq #,Station Type,Station Name,Test Sequence,Port,Proc #,Area,Area Category,Stn Opts+,Stn Opts-,Status,Tested @,Start Time,Test Time,Comments
3,ET53925,HiPot EI,RST,,3,2,2,,,PASSED,sshipot01,8/31/2025 14:27,00:00:49,D (Group t); G (Build It)
4,ET55946,Align-X,Download,CPU,2,2,2,,,PASSED,gdrss3-31,9/10/2025 18:43,00:02:26,A; G (Build It)
6,ET55946,Align-X,Initialization,CPU,2,2,2,,,PASSED,gdrss3-32,9/16/2025 09:56,00:08:28,A; G (Build It)
7,ET55946,Align-X,Initialization,CPU,3,2,2,,,PASSED,gdrss3-32,9/16/2025 14:41,00:00:04,A; G (Build It)
8,ET55946,Align-X,Download,CPU,4,2,2,,,PASSED,gdrss3-32,9/16/2025 14:53,00:08:24,A; G (Build It)
9,ET55946,Align-X,Functional Tests,RF1,3,2,2,,,PASSED,gdrss3-32,9/16/2025 15:03,01:22:16,A; G (Build It); Y (M9884A - CHANNEL 1)
10,ET55946,Align-X,Functional Tests,RF1,2,2,2,,,PASSED,gdrss3-33,9/16/2025 16:47,00:19:07,A; G (Build It); Y (M9884A - CHANNEL 1)
11,ET55946,Align-X,Functional Tests,RF1,4,2,2,,,PASSED,gdrss3-33,9/16/2025 18:18,05:27:31,A; G (Build It); Y (M9884A - CHANNEL 1)
21,ET55946,Align-X,Functional Tests,CPU,9,2,2,,,PASSED,gdrss37,9/17/2025 09:24,00:03:57,A; G (Build It); I (PCH); Y (M9884A - CHANNEL 1)
22,ET55946,Align-X,Functional Tests,CPU,15,2,2,,,PASSED,gdrss3-34,9/17/2025 09:46,00:08:27,A; G (Build It)
23,ET55946,Align-X,Functional Tests,CPU,30,2,2,,,PASSED,gdrss37,9/18/2025 10:45,01:15:11,A; G (Build It); I (PCH)
24,ET55946,Align-X,Functional Tests,CPU,31,2,2,,,PASSED,gdrss37,9/17/2025 17:37,00:17:17,A; G (Build It); I (PCH)
27,ET57033,PNA-X,Adjustments,RF1,4,2,2,256,,PASSED,gdrss3-47,9/18/2025 12:20,05:32:36,A; M (Diversity group A); Y (M9884A - CHANNEL 1)
