Seq #,Station Type,Station Name,Test Sequence,Port,Proc #,Area,Area Category,Stn Opts+,Stn Opts-,Status,Tested @,Start Time,Test Time,Comments
3,ET53925,HiPot EI,RST,,3,2,2,,,PASSED,ssdrst01,8/18/2025 17:18,00:01:16,D (Group t); G (Build It)
4,ET55946,Align-X,Download,CPU,2,2,2,,,PASSED,gdrss3-31,9/6/2025 04:05,00:00:11,A; G (Build It)
5,ET55946,Align-X,Initialization,CPU,2,2,2,,,PASSED,gdrss3-34,9/10/2025 22:31,00:08:43,A; G (Build It)
6,ET55946,Align-X,Initialization,CPU,3,2,2,,,PASSED,gdrss3-34,9/10/2025 22:40,00:00:03,A; G (Build It)
7,ET55946,Align-X,Download,CPU,4,2,2,,,PASSED,gdrss3-31,9/6/2025 02:51,00:11:46,A; G (Build It)
8,ET55946,Align-X,Functional Tests,RF1,3,2,2,,,PASSED,gdrss3-31,9/6/2025 03:10,00:14:20,A; G (Build It); Y (M9884A - CHANNEL 1)
9,ET55946,Align-X,Functional Tests,RF1,2,2,2,,,CLEARED,gdrss37,9/6/2025 14:33,00:23:26,A; G (Build It); Y (M9884A - CHANNEL 1)
10,ET55946,Align-X,Functional Tests,RF1,4,2,2,,,PASSED,gdrss3-31,9/6/2025 04:12,01:37:20,A; G (Build It); Y (M9884A - CHANNEL 1)
11,ET55946,Align-X,Functional Tests,CPU,9,2,2,,,PASSED,gdrss37,9/6/2025 15:20,00:50:43,A; G (Build It); I (PCH); Y (M9884A - CHANNEL 1)
12,ET55946,Align-X,Functional Tests,CPU,15,2,2,,,PASSED,gdrss37,9/6/2025 16:14,00:21:58,A; G (Build It)
13,ET55946,Align-X,Functional Tests,CPU,30,2,2,,,PASSED,gdrss37,9/17/2025 11:31,00:22:57,A; G (Build It); I (PCH)
14,ET55946,Align-X,Functional Tests,CPU,31,2,2,,,PASSED,gdrss37,9/17/2025 17:00,00:19:07,A; G (Build It); I (PCH)
15,ET57033,PNA-X,Adjustments,RF1,4,2,2,256,,PASSED,gdrss3-04,9/7/2025 14:38,02:56:10,A; M (Diversity group A); Y (M9884A - CHANNEL 1)
