Seq #,Station Type,Station Name,Test Sequence,Port,Proc #,Test Group,Area,Area Category,Stn Opts+,Stn Opts-,Status,Tested @,Start Time,Test Time,Comments
2,HiPot,High Potential Test,Hi Pot,CPU,2,,2,2,,,CLEARED,,,,G (Build It)
3,ET55946,Align-X,Initialization,CPU,6,,2,2,,,PASSED,obt290,1/2/2026 16:58,00:00:01,G (Build It)
4,ET55946,Align-X,Imaging,CPU,2,,2,2,,,CLEARED,,,,G (Build It)
5,ET55946,Align-X,Initialization,CPU,2,,2,2,,,CLEARED,sr-ssd72,1/2/2026 17:05,00:01:07,G (Build It)
6,ET55946,Align-X,Initialization,CPU,3,,2,2,,,FAILED,sr-ssd72,1/2/2026 17:06,00:00:01,G (Build It)
7,ET55946,Align-X,StoreBoardHeader,CPU,2,,2,2,,,FAILED,mod019,1/26/2026 14:05,00:00:16,G (Build It)
9,ET55946,Align-X,Adjustment Default,CPU,2,,2,2,,,PASSED,mod039,1/28/2026 18:45,00:00:29,
10,ET55946,Align-X,Adjustment Power Default,RF1,2,,2,2,,,PASSED,obt290,1/30/2026 16:26,00:01:42,Y (N1525A - CHANNEL 1)
12,ET55946,Align-X,Adjustment Power Default,RF1,4,,2,2,,,CLEARED,sr-ssd72,1/2/2026 17:09,00:00:06,I (UHP); Y (N1525A - CHANNEL 1)
13,ET55946,Align-X,Adjustment CPU,CPU,2,,2,2,,,PASSED,mod039,1/28/2026 18:47,00:00:11,
14,ET55946,Align-X,Adjustment Tone Generator,CPU,2,,2,2,,,PASSED,mod039,1/28/2026 18:47,00:00:10,
15,ET55946,Align-X,Adjustment Rear Panel,CPU,2,,2,2,,,PASSED,mod039,1/30/2026 15:15,00:00:15,
17,ET55946,Align-X,Adjustment Power Supply Interface,CPU,2,,2,2,,,PASSED,mod039,1/28/2026 18:48,00:00:12,
18,ET55946,Align-X,Adjustment High Power,RF1,2,,2,2,,,CLEARED,sr-ssd72,1/2/2026 17:12,00:00:03,I (UHP); Y (N1525A - CHANNEL 1)
19,ET55946,Align-X,Adjustment Backup,CPU,2,,2,2,,,PASSED,mod039,1/28/2026 18:49,00:00:23,
20,ET55946,Align-X,SelfTest CPU,CPU,2,,2,2,,,PASSED,mod039,1/28/2026 18:50,00:00:12,
21,ET55946,Align-X,SelfTest Rear Panel,RF1,2,,2,2,,,PASSED,mod039,1/28/2026 18:50,00:00:13,Y (N1525A - CHANNEL 1)
23,ET55946,Align-X,SelfTest Power Supply Interface,CPU,2,,2,2,,,PASSED,mod039,1/28/2026 18:51,00:00:17,
24,ET55946,Align-X,SelfTest Reference,CPU,2,,2,2,,,PASSED,mod039,1/29/2026 16:11,00:01:46,
25,ET55946,Align-X,SelfTest Tone Generator,CPU,2,,2,2,,,PASSED,mod039,1/28/2026 18:52,00:00:08,
26,ET55946,Align-X,SelfTest MiniMoab,RF1,2,,2,2,,,PASSED,mod039,1/29/2026 16:16,00:05:00,Y (N1525A - CHANNEL 1)
