Seq #,Station Type,Station Name,Test Sequence,Proc #,Area,Area Category,Stn Opts+,Stn Opts-,Status,Tested @,Start Time,Test Time,Comments
1,TOEI,Turn On EI,Initialization,4,2,2,,,CLEARED,,,,A
2,ET58097,6G Align-X,Alignment,4,2,2,,,FAILED,sr-ssd78,1/30/2026 11:31,00:21:56,A
3,XFREI,Transfer EI (YS loading),TransferGate,4,2,2,,,FAILED,sas115,2/3/2026 15:21,00:00:20,C
7,ET57033,PNA-X,WidebandSACalibratorCal,4,2,2,,,PASSED,sas101,1/30/2026 13:01,01:40:01,A; M1 (Diversity group A1)
8,HoldingBay6G,,InBoxCalMPB,4,2,2,,,CLEARED,sas033,1/30/2026 14:43,00:08:11,A
9,HoldingBay6G,,InBoxCalMPBPaLow,4,2,2,,,CLEARED,sas033,1/30/2026 14:57,00:03:40,A
10,HoldingBay6G,,InBoxCalMPBPaHigh,4,2,2,,,CLEARED,sas033,1/30/2026 15:08,00:04:52,A
11,HoldingBay6G,,InBoxCalSTD,4,2,2,,,CLEARED,sas033,1/30/2026 15:09,00:18:56,A
12,HoldingBay6G,,InBoxCalSTDPaLow,4,2,2,,,CLEARED,sas033,1/30/2026 15:28,00:25:09,A
13,HoldingBay6G,,InBoxCalSTDPaHigh,4,2,2,,,CLEARED,sas033,1/30/2026 15:54,00:25:09,A
14,HoldingBay6G,,InBoxCalDirect,4,2,2,,,CLEARED,sas033,1/30/2026 16:20,00:02:33,A
15,HoldingBay6G,,InBoxCalB40Rf,4,2,2,,,CLEARED,sas033,1/30/2026 16:23,01:16:40,A
16,HoldingBay6G,,InBoxCalB40If,4,2,2,,,CLEARED,sas033,1/30/2026 17:41,00:03:03,A
17,HoldingBay6G,,InBoxCalB4XRf,4,2,2,,,CLEARED,sas033,1/30/2026 17:49,01:13:12,A
18,HoldingBay6G,,InBoxCalB4XIf,4,2,2,,,CLEARED,sas033,1/30/2026 19:03,00:13:30,A
19,HoldingBay6G,,InBoxCalR20Rf,4,2,2,,,CLEARED,sas033,1/30/2026 19:34,00:13:39,A; I (R20)
