Seq #,Station Type,Station Name,Test Sequence,Port,Proc #,Area,Area Category,Stn Opts+,Stn Opts-,Status,Tested @,Start Time,Test Time,Comments
3,ET53925,HiPot EI,RST,,3,2,2,,,CLEARED,,,,D (Group t); G (Build It)
4,ET55946,Align-X,Download,CPU,2,2,2,,,PASSED,gdrss3-32,9/26/2025 12:37,00:00:09,A; G (Build It)
6,ET55946,Align-X,Initialization,CPU,2,2,2,,,PASSED,alignx1,9/17/2025 09:33,00:01:09,A; G (Build It)
7,ET55946,Align-X,Initialization,CPU,3,2,2,,,PASSED,alignx1,9/17/2025 09:37,00:00:05,A; G (Build It)
8,ET55946,Align-X,Download,CPU,4,2,2,,,PASSED,alignx1,9/17/2025 09:42,00:09:06,A; G (Build It)
9,ET55946,Align-X,Functional Tests,RF1,3,2,2,,,PASSED,alignx1,9/17/2025 09:52,00:09:50,A; G (Build It); Y (M9884A - CHANNEL 1)
10,ET55946,Align-X,Functional Tests,RF1,2,2,2,,,PASSED,alignx1,9/17/2025 10:59,00:17:41,A; G (Build It); Y (M9884A - CHANNEL 1)
11,ET55946,Align-X,Functional Tests,RF1,4,2,2,,,PASSED,alignx1,9/17/2025 11:17,01:20:58,A; G (Build It); Y (M9884A - CHANNEL 1)
21,ET55946,Align-X,Functional Tests,CPU,9,2,2,,,PASSED,alignx1,9/17/2025 12:39,00:11:03,A; G (Build It); I (PCH); Y (M9884A - CHANNEL 1)
22,ET55946,Align-X,Functional Tests,CPU,15,2,2,,,PASSED,alignx1,9/17/2025 15:33,00:07:56,A; G (Build It)
23,ET55946,Align-X,Functional Tests,CPU,30,2,2,,,PASSED,gdrss3-32,9/26/2025 12:56,00:21:13,A; G (Build It); I (PCH)
24,ET55946,Align-X,Functional Tests,CPU,31,2,2,,,PASSED,gdrss3-32,9/26/2025 15:33,00:19:41,A; G (Build It); I (PCH)
27,ET57033,PNA-X,Adjustments,RF1,4,2,2,256,,PASSED,gdrss3-04,10/8/2025 14:30,03:07:17,A; M (Diversity group A); Y (M9884A - CHANNEL 1)
