Seq #,Station Type,Station Name,Test Sequence,Port,Proc #,Test Group,Area,Area Category,Stn Opts+,Stn Opts-,Status,Tested @,Start Time,Test Time,Comments
2,HiPot,High Potential Test,Hi Pot,CPU,2,,2,2,,,CLEARED,,,,G (Build It)
3,ET55946,Align-X,Initialization,CPU,6,,2,2,,,PASSED,mod039,1/31/2026 13:01,00:00:01,G (Build It)
4,ET55946,Align-X,Imaging,CPU,2,,2,2,,,PASSED,mod039,1/31/2026 13:02,00:29:25,G (Build It)
5,ET55946,Align-X,Initialization,CPU,2,,2,2,,,CLEARED,mod039,1/31/2026 13:32,00:01:07,G (Build It)
6,ET55946,Align-X,Initialization,CPU,3,,2,2,,,CLEARED,mod039,1/31/2026 13:33,00:00:04,G (Build It)
7,ET55946,Align-X,StoreBoardHeader,CPU,2,,2,2,,,PASSED,mod039,1/31/2026 13:34,00:00:26,G (Build It)
9,ET55946,Align-X,Adjustment Default,CPU,2,,2,2,,,PASSED,mod039,1/31/2026 13:35,00:00:32,
10,ET55946,Align-X,Adjustment Power Default,RF1,2,,2,2,,,PASSED,jkh,1/31/2026 20:05,00:00:42,Y (N1525A - CHANNEL 1)
13,ET55946,Align-X,Adjustment CPU,CPU,2,,2,2,,,PASSED,mod039,1/31/2026 13:37,00:00:12,
14,ET55946,Align-X,Adjustment Tone Generator,CPU,2,,2,2,,,PASSED,mod039,1/31/2026 13:37,00:00:11,
15,ET55946,Align-X,Adjustment Rear Panel,CPU,2,,2,2,,,PASSED,mod039,1/31/2026 13:38,00:00:12,
17,ET55946,Align-X,Adjustment Power Supply Interface,CPU,2,,2,2,,,PASSED,mod039,1/31/2026 13:38,00:00:12,
19,ET55946,Align-X,Adjustment Backup,CPU,2,,2,2,,,PASSED,mod039,1/31/2026 13:39,00:00:25,
20,ET55946,Align-X,SelfTest CPU,CPU,2,,2,2,,,PASSED,mod039,1/31/2026 13:40,00:00:11,
21,ET55946,Align-X,SelfTest Rear Panel,RF1,2,,2,2,,,CLEARED,mod039,1/31/2026 13:41,00:00:12,Y (N1525A - CHANNEL 1)
