Seq #,Station Type,Station Name,Test Sequence,Port,Proc #,Area,Area Category,Stn Opts+,Stn Opts-,Status,Tested @,Start Time,Test Time,Comments
3,ET55946,Align-X,Initialization,CPU,6,2,2,,,PASSED,gdrss3-33,12/9/2025 15:59,00:00:05,B
4,ET55946,Align-X,Download G2.4,CPU,8,2,2,,,PASSED,gdrss3-33,12/9/2025 16:00,00:59:54,B
5,ET55946,Align-X,Download G2.4,CPU,9,2,2,,,PASSED,gdrss3-33,12/9/2025 17:02,00:00:11,B
6,ET55946,Align-X,Initialization,CPU,2,2,2,,,PASSED,gdrss3-33,12/9/2025 17:03,00:01:17,B
7,ET55946,Align-X,Initialization,CPU,3,2,2,,,PASSED,gdrss3-33,12/9/2025 17:09,00:00:03,B
8,ET55946,Align-X,Download,CPU,3,2,2,,,PASSED,gdrss3-33,12/9/2025 17:10,00:00:31,B
9,ET55946,Align-X,Array Default G2.4,RF1,10,2,2,,,PASSED,gdrss3-33,12/9/2025 17:11,00:00:23,B; Y (N5886A - CHANNEL 1)
13,ET55946,Align-X,Abus Adjustments G2.4,CPU,2,2,2,,,PASSED,gdrss3-33,12/9/2025 17:12,00:00:26,B
14,ET55946,Align-X,Abus Adjustments G2.4,RF1,2,2,2,,,PASSED,gdrss3-33,12/9/2025 17:13,00:00:24,B; Y (N5886A - CHANNEL 1)
18,ET55946,Align-X,SelfTest G2.4,RF1,2,2,2,,,PASSED,gdrss3-33,12/9/2025 17:14,00:01:19,Y (N5886A - CHANNEL 1)
22,ET55946,Align-X,Reference Adjustments G2.4,CPU,3,2,2,,,PASSED,gdrss3-33,12/9/2025 17:15,00:32:30,B
23,ET55946,Align-X,Functional Tests,RF1,3,2,2,,,CLEARED,gdrss3-33,12/9/2025 17:48,02:56:49,B; Y (N5886A - CHANNEL 1)
27,ET55946,Align-X,Functional Tests,CPU,15,2,2,,,PASSED,gdrss3-33,12/9/2025 21:16,00:01:29,B
28,ET55946,Align-X,Adjustments G2.4,RF1,40,2,2,,,PASSED,gdrss3-33,12/9/2025 23:51,01:37:48,B; Y (N5886A - CHANNEL 1)
32,ET55946,Align-X,Acpr,RF1,2,2,2,,,PASSED,gdrss3-33,12/10/2025 01:30,00:18:15,Y (N5886A - CHANNEL 1)
36,ET57033,PNA-X,Source Adjustments G2.4,RF1,5,2,2,256,,PASSED,gdrss3-42,12/10/2025 16:58,01:52:22,A; M (Diversity group A); Y (N5886A - CHANNEL 1)
40,ET57033,PNA-X,Source Adjustments G2.4,RF1,21,2,2,256,,PASSED,gdrss3-42,12/10/2025 18:51,02:37:18,J (002;003;004 - any); K (Dependency group F parent); M (Diversity group D); Y (N5886A - CHANNEL 1)
