Seq #,Station Type,Station Name,Test Sequence,Port,Proc #,Area,Area Category,Stn Opts+,Stn Opts-,Status,Tested @,Start Time,Test Time,Comments
2,ET53925,HiPot EI,RST,,3,2,2,,,PASSED,ssdrst01,9/19/2025 16:31,00:00:51,D (Group t); G (Build It)
3,ET55946,Align-X,Download,CPU,2,2,2,,,PASSED,gdrss3-31,9/26/2025 10:12,00:00:11,A; G (Build It)
5,ET55946,Align-X,Initialization,CPU,2,2,2,,,PASSED,alignx1,9/20/2025 11:38,00:01:19,A; G (Build It)
6,ET55946,Align-X,Initialization,CPU,3,2,2,,,PASSED,alignx1,9/20/2025 11:45,00:00:03,A; G (Build It)
7,ET55946,Align-X,Download,CPU,4,2,2,,,PASSED,alignx1,9/20/2025 11:47,00:09:26,A; G (Build It)
8,ET55946,Align-X,Functional Tests,RF1,3,2,2,,,PASSED,alignx1,9/20/2025 11:58,00:38:44,A; G (Build It); Y (M9884A - CHANNEL 1)
9,ET55946,Align-X,Functional Tests,RF1,2,2,2,,,PASSED,alignx1,9/20/2025 12:39,00:21:37,A; G (Build It); Y (M9884A - CHANNEL 1)
11,ET55946,Align-X,Functional Tests,RF1,4,2,2,,,PASSED,alignx1,9/20/2025 13:01,02:30:12,A; G (Build It); Y (M9884A - CHANNEL 1)
21,ET55946,Align-X,Functional Tests,CPU,9,2,2,,,PASSED,alignx1,9/20/2025 15:34,00:04:30,A; G (Build It); I (PCH); Y (M9884A - CHANNEL 1)
22,ET55946,Align-X,Functional Tests,CPU,15,2,2,,,PASSED,alignx1,9/20/2025 15:39,00:18:37,A; G (Build It)
23,ET55946,Align-X,Functional Tests,CPU,30,2,2,,,PASSED,gdrss3-32,9/26/2025 10:34,00:16:00,A; G (Build It); I (PCH)
24,ET55946,Align-X,Functional Tests,CPU,31,2,2,,,PASSED,gdrss3-32,9/26/2025 10:55,01:24:44,A; G (Build It); I (PCH)
33,ET57033,PNA-X,Adjustments,RF1,4,2,2,256,,PASSED,gdrss3-67,9/29/2025 20:33,02:48:01,A; M (Diversity group A); Y (M9884A - CHANNEL 1)
34,ET57033,PNA-X,Adjustments,RF1,5,2,2,,,PASSED,gdrss3-67,9/29/2025 23:22,02:34:34,A; I (514); M (Diversity group B); Y (M9884A - CHANNEL 1)
36,ET57033,PNA-X,Phase Measurements,RF1,21,2,2,256,,PASSED,gdrss3-67,9/30/2025 01:59,00:40:30,J (002;003;004 - any); K (Dependency group F parent); M (Diversity group D); Y (M9884A - CHANNEL 1)
37,ET57033,PNA-X,Phase Measurements,RF1,22,2,2,,,PASSED,gdrss3-67,9/30/2025 02:41,02:43:14,I (514); J (002;003;004 - any); K (Dependency group G parent); M (Diversity group E); Y (M9884A - CHANNEL 1)
63,ET54730,ACLR-Testing,Adjustments,RF1,11,2,2,81920,,PASSED,gdrss3-16,,,E; J (532); Y (M9884A - CHANNEL 1)
83,ET43064,YS Loading Gate,LoadingGateTest,CPU,2,2,2,,,PASSED,ys2gate70,10/3/2025 10:13,00:01:13,B
84,Insert test plan: M9884A,B; C; Q,,,,,,,,,,,,
85,ET57033,PNA-X,Functional Tests,RF1,5,2,2,,,PASSED,gdrss3-41,10/1/2025 17:28,00:02:55,Y (M9884A - CHANNEL 1)
91,ET57033,PNA-X,Amplitude Accuracy,RF1,3,2,2,,,PASSED,gdrss3-03,10/1/2025 17:55,00:23:22,I (514); K (Dependency group J parent); M (Diversity group B); Y (M9884A - CHANNEL 1)
92,ET57033,PNA-X,Amplitude Accuracy,RF1,33,2,2,,,PASSED,gdrss3-03,10/1/2025 18:19,00:02:35,I (514); J (1EB); K (Dependency group J child); Y (M9884A - CHANNEL 1)
95,ET57033,PNA-X,Amplitude Accuracy,RF1,73,2,2,,,PASSED,gdrss3-03,10/1/2025 18:23,00:16:50,I (514); K (Dependency group J child); Y (M9884A - CHANNEL 1)
97,ET57033,PNA-X,Amplitude Accuracy,RF1,2,2,2,256,,PASSED,gdrss3-03,10/1/2025 18:41,00:27:09,K (Dependency group K parent); M (Diversity group A); Y (M9884A - CHANNEL 1)
98,ET57033,PNA-X,Amplitude Accuracy,RF1,22,2,2,256,,PASSED,gdrss3-03,10/1/2025 19:09,02:31:51,E; Y (M9884A - CHANNEL 1)
99,ET57033,PNA-X,Amplitude Accuracy,RF1,32,2,2,256,,PASSED,gdrss3-03,10/1/2025 21:41,00:02:33,J (1EA); K (Dependency group K child); Y (M9884A - CHANNEL 1)
102,ET57033,PNA-X,Amplitude Accuracy,RF1,72,2,2,256,,PASSED,gdrss3-03,10/1/2025 21:45,00:27:26,K (Dependency group K child); Y (M9884A - CHANNEL 1)
108,ET54730,ACLR-Testing,Amplitude Accuracy,RF1,7,2,2,,,PASSED,gdrss3-54,10/1/2025 23:10,02:15:27,I (514); K (Dependency group J child); Y (M9884A - CHANNEL 1)
111,ET54730,ACLR-Testing,Amplitude Accuracy,RF1,6,2,2,,,PASSED,gdrss3-54,10/2/2025 01:30,01:00:45,K (Dependency group K child); Y (M9884A - CHANNEL 1)
114,ET57381,Peanuts Phase Noise,PhaseNoiseG2.4,RF1,9,2,2,,,PASSED,pnoise104,10/2/2025 17:22,00:32:29,I (ST5); K (Dependency group V parent); Y (M9884A - CHANNEL 1)
119,ET57381,Peanuts Phase Noise,PhaseNoiseG2.4,RF1,43,2,2,,,PASSED,pnoise104,10/2/2025 17:55,00:13:36,I (514;ST5 - all); K (Dependency group V child); Y (M9884A - CHANNEL 1)
120,ET57381,Peanuts Phase Noise,PhaseNoiseG2.4,RF1,42,2,2,,,PASSED,pnoise103,10/3/2025 02:45,00:28:05,I (ST5); K (Dependency group V child); Y (M9884A - CHANNEL 1)
123,ET54730,ACLR-Testing,Channel Flatness,RF1,6,2,2,73728,32,PASSED,gdrss3-51,10/2/2025 15:40,00:19:31,I (514); Y (M9884A - CHANNEL 1)
124,ET54730,ACLR-Testing,Channel Flatness,RF1,3,2,2,73728,32,PASSED,gdrss3-51,10/2/2025 16:38,00:02:00,Y (M9884A - CHANNEL 1)
125,ET54730,ACLR-Testing,Functional Tests,RF1,5,2,2,,,PASSED,gdrss3-54,10/2/2025 02:32,00:02:50,Y (M9884A - CHANNEL 1)
129,ET54730,ACLR-Testing,Phase Measurements,RF1,34,2,2,,32,PASSED,gdrss3-54,10/2/2025 02:36,00:09:56,I (514); K (Dependency group G child); Y (M9884A - CHANNEL 1)
130,ET57033,PNA-X,Phase Measurements,RF1,33,2,2,,,PASSED,gdrss3-03,10/1/2025 22:12,00:23:54,I (514); K (Dependency group G child); M (Diversity group E); Y (M9884A - CHANNEL 1)
131,ET54730,ACLR-Testing,Phase Measurements,RF1,32,2,2,,32,PASSED,gdrss3-54,10/2/2025 02:46,00:27:35,K (Dependency group F child); Y (M9884A - CHANNEL 1)
132,ET57033,PNA-X,Phase Measurements,RF1,31,2,2,256,,PASSED,gdrss3-03,10/1/2025 22:37,00:25:20,K (Dependency group F child); M (Diversity group D); Y (M9884A - CHANNEL 1)
133,ET55857,X-Mod,Functional Tests,RF1,5,2,2,,,PASSED,gdrss3-22,10/3/2025 11:02,00:02:40,Y (M9884A - CHANNEL 1)
135,ET55857,X-Mod,Switching Speed,RF1,4,2,2,8,,PASSED,gdrss3-22,10/3/2025 11:06,00:31:36,I (514); Y (M9884A - CHANNEL 1)
136,ET55857,X-Mod,Switching Speed,RF1,3,2,2,8,,PASSED,gdrss3-22,10/3/2025 11:38,00:12:33,Y (M9884A - CHANNEL 1)
138,ET54730,ACLR-Testing,Pulse Modulation,RF1,11,2,2,8192,94,PASSED,gdrss3-54,10/2/2025 03:15,00:15:17,Y (M9884A - CHANNEL 1)
140,ET55857,X-Mod,Pulse Modulation,RF1,4,2,2,8,,PASSED,gdrss3-22,10/3/2025 11:51,00:24:20,I (514); Y (M9884A - CHANNEL 1)
141,ET55857,X-Mod,Pulse Modulation,RF1,3,2,2,8,,PASSED,gdrss3-22,10/3/2025 12:17,00:21:08,Y (M9884A - CHANNEL 1)
153,ET54730,ACLR-Testing,Spectral,RF1,16,2,2,,,PASSED,gdrss3-54,10/2/2025 03:34,00:10:44,I (514); Y (M9884A - CHANNEL 1)
154,ET54730,ACLR-Testing,Spectral,RF1,15,2,2,,,PASSED,gdrss3-54,10/2/2025 03:45,00:51:21,I (514); Y (M9884A - CHANNEL 1)
155,ET54730,ACLR-Testing,Spectral,RF1,14,2,2,,,PASSED,gdrss3-54,10/2/2025 04:37,00:57:24,I (514); Y (M9884A - CHANNEL 1)
156,ET54730,ACLR-Testing,Spectral,RF1,13,2,2,,,PASSED,gdrss3-54,10/2/2025 05:40,00:07:26,I (520); Y (M9884A - CHANNEL 1)
157,ET54730,ACLR-Testing,Spectral,RF1,6,2,2,,,PASSED,gdrss3-54,10/2/2025 05:49,00:12:45,Y (M9884A - CHANNEL 1)
158,ET54730,ACLR-Testing,Spectral,RF1,5,2,2,,,PASSED,gdrss3-54,10/2/2025 06:02,00:43:52,Y (M9884A - CHANNEL 1)
159,ET54730,ACLR-Testing,Spectral,RF1,4,2,2,,,PASSED,gdrss3-54,10/2/2025 06:47,00:29:33,Y (M9884A - CHANNEL 1)
160,ET54730,ACLR-Testing,Spectral,RF1,3,2,2,,,PASSED,gdrss3-54,10/2/2025 07:17,00:19:01,Y (M9884A - CHANNEL 1)
163,ET54730,ACLR-Testing,Acpr,RF1,6,2,2,,32,PASSED,gdrss3-54,10/2/2025 07:37,00:41:09,I (514); Y (M9884A - CHANNEL 1)
164,ET54730,ACLR-Testing,Acpr,RF1,4,2,2,,32,PASSED,gdrss3-54,10/2/2025 08:22,01:51:11,Y (M9884A - CHANNEL 1)
165,ET57033,PNA-X,Amplitude Accuracy,RF1,29,2,2,512,,PASSED,gdrss3-01,10/4/2025 03:30,00:07:21,E; M (Diversity group A); Y (M9884A - CHANNEL 1)
166,ET57033,PNA-X,Amplitude Accuracy,RF1,21,2,2,512,,PASSED,gdrss3-07,10/4/2025 19:12,00:09:05,A; M (Diversity group A); Y (M9884A - CHANNEL 1)
418,ET54791,POSTPONEMENT,Functional Tests,CPU,16,2,2,,,PASSED,gdrss96,10/7/2025 12:26,00:00:48,A; G (Ship It)
419,ET54791,POSTPONEMENT,MCS3 Reconfig,CPU,6,2,2,,,PASSED,gdrss96,10/7/2025 12:28,00:04:10,A; G (Ship It); I (PCH)
420,ET54791,POSTPONEMENT,CustomerInit,CPU,2,2,2,,,PASSED,gdrss96,10/7/2025 12:32,00:06:17,A; G (Ship It)
421,ET54791,POSTPONEMENT,CustomerInit,CPU,3,2,2,,,PASSED,gdrss96,10/7/2025 12:39,00:03:13,A; G (Ship It)
426,ET54791,POSTPONEMENT,Functional Tests,RF1,17,2,2,,,PASSED,gdrss96,10/7/2025 12:44,00:03:28,A; G (Ship It); Y (M9884A - CHANNEL 1)
430,ET54791,POSTPONEMENT,FinalConfiguration,CPU,2,2,2,,,PASSED,gdrss96,10/7/2025 13:23,00:00:21,A; G (Ship It); J (A6J;AMG - any)
431,ET54791,POSTPONEMENT,Functional Tests,CPU,34,2,2,,,PASSED,gdrss96,10/7/2025 13:24,00:00:08,A; G (Ship It)
433,ET53925,HiPot EI,RST,,3,2,2,,,PASSED,sshipot01,10/8/2025 07:40,00:00:52,G (Ship It)
