Seq #,Station Type,Station Name,Test Sequence,Port,Proc #,Area,Area Category,Stn Opts+,Stn Opts-,Status,Tested @,Start Time,Test Time,Comments
2,ET53925,HiPot EI,RST,,3,2,2,,,CLEARED,,,,D (Group t); G (Build It)
3,ET55946,Align-X,Download,CPU,2,2,2,,,PASSED,gdrss3-31,9/30/2025 10:30,0:00:14,A; G (Build It)
5,ET55946,Align-X,Initialization,CPU,2,2,2,,,PASSED,gdrss3-31,9/30/2025 16:40,0:07:48,A; G (Build It)
6,ET55946,Align-X,Initialization,CPU,3,2,2,,,PASSED,gdrss3-31,9/30/2025 16:49,0:00:32,A; G (Build It)
7,ET55946,Align-X,Download,CPU,4,2,2,,,PASSED,gdrss3-31,9/30/2025 17:23,0:08:22,A; G (Build It)
8,ET55946,Align-X,Functional Tests,RF1,3,2,2,,,PASSED,gdrss3-31,9/30/2025 18:04,0:09:51,A; G (Build It); Y (M9884A - CHANNEL 1)
9,ET55946,Align-X,Functional Tests,RF1,2,2,2,,,PASSED,gdrss3-31,9/30/2025 18:16,0:50:06,A; G (Build It); Y (M9884A - CHANNEL 1)
11,ET55946,Align-X,Functional Tests,RF1,4,2,2,,,PASSED,gdrss3-31,9/30/2025 19:31,1:26:33,A; G (Build It); Y (M9884A - CHANNEL 1)
21,ET55946,Align-X,Functional Tests,CPU,9,2,2,,,PASSED,gdrss3-31,9/30/2025 21:02,0:04:22,A; G (Build It); I (PCH); Y (M9884A - CHANNEL 1)
22,ET55946,Align-X,Functional Tests,CPU,15,2,2,,,PASSED,gdrss3-31,9/30/2025 21:25,0:27:20,A; G (Build It)
23,ET55946,Align-X,Functional Tests,CPU,30,2,2,,,PASSED,gdrss3-32,9/30/2025 23:26,0:16:19,A; G (Build It); I (PCH)
24,ET55946,Align-X,Functional Tests,CPU,31,2,2,,,PASSED,gdrss3-32,9/30/2025 23:02,0:17:21,A; G (Build It); I (PCH)
33,ET57033,PNA-X,Adjustments,RF1,4,2,2,256,,PASSED,gdrss3-47,9/30/2025 23:57,5:40:07,A; M (Diversity group A); Y (M9884A - CHANNEL 1)
34,ET57033,PNA-X,Adjustments,RF1,5,2,2,,,PASSED,gdrss3-47,10/1/2025 5:40,3:14:07,A; I (514); M (Diversity group B); Y (M9884A - CHANNEL 1)
